LOB	Business Area	Scope Item ID	Description	Solution Activity (Hierarchy)	Fiori App or Transaction Title	Fiori App or Transaction ID	Business Role Description	Business Role ID
Application Platform and Infrastructure	Process Management and Integration	1NJ	Responsibility Management     (1NJ)	    Create Team	Manage Teams and Responsibilities - Procurement 	F2412	Business Process Specialist	SAP_BR_BUSINESS_PROCESS_SPEC
Application Platform and Infrastructure	Process Management and Integration	1NJ	Responsibility Management     (1NJ)	    Maintain Hierarchy Across Teams	Manage Teams and Responsibilities - Procurement 	F2412	Business Process Specialist	SAP_BR_BUSINESS_PROCESS_SPEC
Application Platform and Infrastructure	Process Management and Integration	1NJ	Responsibility Management     (1NJ)	    Create Rules	Manage Responsibility Rules 	F4637	Extensibility Specialist	SAP_BR_EXTENSIBILITY_SPEC
Application Platform and Infrastructure	Process Management and Integration	1NJ	Responsibility Management     (1NJ)	    Extend Context and Map Rules	Manage Responsibility Contexts 	F4636	Extensibility Specialist	SAP_BR_EXTENSIBILITY_SPEC
Application Platform and Infrastructure	Process Management and Integration	1NN	Business Event Handling     (1NN)	    Business Event Subscription - Subscription Manager	Business Event Subscription - Subscription Manager 	F2569	Administrator	SAP_BR_ADMINISTRATOR
Application Platform and Infrastructure	Process Management and Integration	1NN	Business Event Handling     (1NN)	    Business Event Queue - Number of Events in Queue	Business Event Queue 	F2392	Administrator	SAP_BR_ADMINISTRATOR
Application Platform and Infrastructure	Process Management and Integration	31N	Situation Handling     (31N)	    Test the Standard Framework				
Application Platform and Infrastructure	Process Management and Integration	31N	Situation Handling     (31N)	        Create and Trigger Situation Type	Manage Situation Types - Message-Based 	F2947	Configuration Expert - Business Process Configuration	SAP_BR_BPC_EXPERT
Application Platform and Infrastructure	Process Management and Integration	31N	Situation Handling     (31N)	        Handle Situation	My Situations 	F4154	Employee	SAP_BR_EMPLOYEE
Application Platform and Infrastructure	Process Management and Integration	31N	Situation Handling     (31N)	        Monitor Situation (optional)	Monitor Situations 	F3264	Configuration Expert - Business Process Configuration	SAP_BR_BPC_EXPERT
Application Platform and Infrastructure	Process Management and Integration	31N	Situation Handling     (31N)	    Test the Extended Framework				
Application Platform and Infrastructure	Process Management and Integration	31N	Situation Handling     (31N)	        Create Situation Type	Manage Situation Types - Extended 	F5437	Configuration Expert - Business Process Configuration	SAP_BR_BPC_EXPERT
Application Platform and Infrastructure	Process Management and Integration	31N	Situation Handling     (31N)	        Trigger Situation	Situation Handling Demo 	F5697	Configuration Expert - Business Process Configuration	SAP_BR_BPC_EXPERT
Application Platform and Infrastructure	Process Management and Integration	31N	Situation Handling     (31N)	        Handle Situation	My Situations - Extended 	F4537	Employee	SAP_BR_EMPLOYEE
Application Platform and Infrastructure	Process Management and Integration	31N	Situation Handling     (31N)	        Handle Situation	Situation Handling Demo 	F5697	Configuration Expert - Business Process Configuration	SAP_BR_BPC_EXPERT
Application Platform and Infrastructure	Process Management and Integration	31N	Situation Handling     (31N)	        Monitor Situation (optional)	Monitor Situations - Extended 	F6780	Configuration Expert - Business Process Configuration	SAP_BR_BPC_EXPERT
