LOB	Business Area	Scope Item ID	Description	Solution Activity (Hierarchy)	Fiori App or Transaction Title	Fiori App or Transaction ID	Business Role Description	Business Role ID
Asset Management	Maintenance Management	43R	Maintenance Resource Scheduling	    Manage Schedule	Resource Scheduling for Maintenance Planners 	F2227	Maintenance Planner - Resource Scheduling	SAP_BR_MAINTENANCE_PLANNER_RSH
Asset Management	Maintenance Management	43R	Maintenance Resource Scheduling	    Manage Schedule	Manage Work Center Utilization 	F2222	Maintenance Planner - Resource Scheduling	SAP_BR_MAINTENANCE_PLANNER_RSH
Asset Management	Maintenance Management	43R	Maintenance Resource Scheduling	    Manage Schedule	Manage Schedules - For Review 	F3326	Maintenance Planner - Resource Scheduling	SAP_BR_MAINTENANCE_PLANNER_RSH
Asset Management	Maintenance Management	43R	Maintenance Resource Scheduling	    Manage Schedule	Maintenance Scheduling Board 	F2603	Maintenance Planner - Resource Scheduling	SAP_BR_MAINTENANCE_PLANNER_RSH
Asset Management	Maintenance Management	43R	Maintenance Resource Scheduling	    Freeze Schedule	Manage Schedules 	F3326	Maintenance Planner - Resource Scheduling	SAP_BR_MAINTENANCE_PLANNER_RSH
Asset Management	Maintenance Management	43R	Maintenance Resource Scheduling	    Assign Person Responsible to Order Operations	Assign Maintenance Order Operations 	F3423	Maintenance Planner - Resource Scheduling	SAP_BR_MAINTENANCE_PLANNER_RSH
Asset Management	Maintenance Management	43R	Maintenance Resource Scheduling	    Work with the Maintenance Scheduling Board	Maintenance Scheduling Board 	F2603	Maintenance Planner - Resource Scheduling	SAP_BR_MAINTENANCE_PLANNER_RSH
Asset Management	Maintenance Management	43R	Maintenance Resource Scheduling	    Work with the Maintenance Schedule for Assets App	Maintenance Scheduling Board 	F2603	Maintenance Planner - Resource Scheduling	SAP_BR_MAINTENANCE_PLANNER_RSH
Asset Management	Maintenance Management	43R	Maintenance Resource Scheduling	    Work with the Maintenance Schedule for Assets App	Manage Maintenance Schedule for Assets 	F4577	Maintenance Planner - Resource Scheduling	SAP_BR_MAINTENANCE_PLANNER_RSH
Asset Management	Maintenance Management	4HH	Reactive Maintenance	    Reactive Maintenance				
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Create Maintenance Request	Create Maintenance Request 	F1511A	Employee	SAP_BR_EMPLOYEE
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Create Maintenance Request	My Maintenance Requests 	F4513	Employee	SAP_BR_EMPLOYEE
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Review Maintenance Requests	My Maintenance Requests 	F4513	Employee	SAP_BR_EMPLOYEE
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Screen Maintenance Requests	Screen Maintenance Requests 	F4072	Maintenance Supervisor	SAP_BR_MAINT_SUPERVISOR
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Create and Plan Maintenance Order	Manage Maintenance Notifications and Orders 	F4604	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Create and Plan Maintenance Order	Display Stock Overview 	MMBE	Inventory Manager	SAP_BR_INVENTORY_MANAGER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Create and Plan Maintenance Order	Change Maintenance Order	EAMS_WDA_ORDNTF_OIF	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Submit Maintenance Order for Approval	Manage Maintenance Notifications and Orders 	F4604	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Approve Maintenance Order (Optional)	My Inbox 	F0862	Billing Clerk	SAP_BR_BILLING_CLERK
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Review and Release Maintenance Order	Manage Maintenance Notifications and Orders 	F4604	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Maintenance Backlog Overview	Manage Maintenance Backlog 	F4073	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Maintenance Backlog Overview	Change Purchase Order 	ME22N	Purchaser	SAP_BR_PURCHASER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Maintenance Backlog Overview	Maintenance Backlog Overview 	F5105	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Maintenance Backlog Overview	Find Maintenance Order 	F2175	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Convert Purchase Requisitions to Purchase Orders				
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Goods Receipt for Purchase Order	Post Goods Movement 	MIGO	Inventory Manager	SAP_BR_INVENTORY_MANAGER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Post Goods Issue	Post Goods Movement 	MIGO	Inventory Manager	SAP_BR_INVENTORY_MANAGER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Submit Order for Scheduling	Find Maintenance Orders - Completion 	F2175	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Schedule Maintenance Order and Submit for Execution	Find Maintenance Orders - Completion 	F2175	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Manage Output	Manage Work Packs 	F6065	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Manage Output	Find Maintenance Orders - Completion 	F2175	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Manage Output	Find Maintenance Orders and Operations 	F2173	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Execute Maintenance Order	Perform Maintenance Jobs 	F5104A	Maintenance Technician	SAP_BR_MAINTENANCE_TECHNICIAN
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Complete Main Work	Find Maintenance Orders - Completion 	F2175	Maintenance Supervisor	SAP_BR_MAINT_SUPERVISOR
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Maintain Service Entry Sheet	Manage Service Entry Sheets - Lean Services 	F2027	Purchaser	SAP_BR_PURCHASER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Execute Post Work Operations	Perform Maintenance Jobs 	F5104A	Maintenance Technician	SAP_BR_MAINTENANCE_TECHNICIAN
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Review Failure Data	Find Maintenance Orders and Operations 	F2173	Maintenance Supervisor	SAP_BR_MAINT_SUPERVISOR
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Review Maintenance Cost	Maintenance Order Costs - Plan / Actual 	F4603	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Technically Complete Maintenance Order	Find Maintenance Orders - Completion 	F2175	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Create Supplier Invoice with PO/GR Relation	Create Supplier Invoice - Advanced 	MIRO	Accounts Payable Accountant - Procurement	SAP_BR_AP_ACCOUNTANT_PROCUREMT
Asset Management	Maintenance Management	4HH	Reactive Maintenance	    Emergency Work				
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Create Maintenance Request	Create Maintenance Request 	F1511A	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Create Maintenance Request	My Maintenance Requests 	F4513	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	    Minor Work				
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Create Maintenance Request	Create Maintenance Request 	F1511A	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Create Maintenance Request	My Maintenance Requests 	F4513	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Asset Management	Maintenance Management	4HH	Reactive Maintenance	        Record Malfunction Details	My Maintenance Requests 	F4513	Maintenance Technician	SAP_BR_MAINTENANCE_TECHNICIAN
Asset Management	Maintenance Management	4HI	Proactive Maintenance	    Time-Based Single Cycle Plan				
Asset Management	Maintenance Management	4HI	Proactive Maintenance	        Create General Task List	Create Task List	EAMS_WDA_TL_OIF_V2	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
