LOB	Business Area	Scope Item ID	Description	Solution Activity (Hierarchy)	Fiori App or Transaction Title	Fiori App or Transaction ID	Business Role Description	Business Role ID
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	    Outgoing Integration				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Create Payment Medium				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Send Payment Instruction to MBC (Optional)				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Monitor Situations	Monitor Situations 	F3264	Configuration Expert - Business Process Configuration	SAP_BR_BPC_EXPERT
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Monitor Situations	Manage Bank Messages 	F4385	Business Integration Specialist - Bank Integration	SAP_BR_BANK_INT_SPECIALIST
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Check Notification				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Pull Status Message from MBC (Optional)	Manage Banks - Basic 	F1574	Cash Manager	SAP_BR_CASH_MANAGER
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	    Incoming Integration				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Import Electronic Bank Statement	Check Cash Flow Items 	F0735	Cash Manager	SAP_BR_CASH_MANAGER
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Pull Bank Statement from MBC	Manage Bank Statements 	F1564	Administrator - Accounts Payable and Receivable (FI-CA)	SAP_BR_ADMIN_APR_FICA
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	            ISO CAMT.054 Format	Manage Banks - Basic 	F1574	Cash Manager	SAP_BR_CASH_MANAGER
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	            ISO CAMT.053 Format	Manage Bank Statements 	F1564	Administrator - Accounts Payable and Receivable (FI-CA)	SAP_BR_ADMIN_APR_FICA
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	            ISO CAMT.053 Format	Manage Banks - Basic 	F1574	Cash Manager	SAP_BR_CASH_MANAGER
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	            ISO CAMT.053 Format	Manage Banks - Basic 	F1574	Cash Management Specialist	SAP_BR_CASH_SPECIALIST
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	            ISO CAMT.053 Format	Manage Bank Statements 	F1564	Cash Management Specialist	SAP_BR_CASH_SPECIALIST
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	            MT940 Format	Manage Bank Statements 	F1564	Cash Management Specialist	SAP_BR_CASH_SPECIALIST
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	            BAI2 Lockbox Message Format				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Import Electronic Bank Statement	Check Cash Flow Items 	F0735	Cash Manager	SAP_BR_CASH_MANAGER
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Pull Bank Services Billing Files from MBC				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Pull Bank Services Billing Files from MBC				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Route Payment Files				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	            Route Payment Files Initiated by Non-SAP Systems				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Monitor Situations	Monitor Situations 	F3264	Configuration Expert - Business Process Configuration	SAP_BR_BPC_EXPERT
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Monitor Situations	Manage Bank Messages 	F4385	Business Integration Specialist - Bank Integration	SAP_BR_BANK_INT_SPECIALIST
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Route Payment Files				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	            Route Payment Files Initiated by Non-SAP Systems				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Monitor Situations	Monitor Situations 	F3264	Configuration Expert - Business Process Configuration	SAP_BR_BPC_EXPERT
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Monitor Situations	Manage Bank Messages 	F4385	Business Integration Specialist - Bank Integration	SAP_BR_BANK_INT_SPECIALIST
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Check Notification				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	        Check Notification				
Finance	Treasury Management	16R	Bank Integration with SAP Multi-Bank Connectivity	    MBC Message Monitor				
Finance	Financial Operations	19M	Direct Debit	    Preparation of Payments				
Finance	Financial Operations	19M	Direct Debit	        Maintain Business Partner				
Finance	Financial Operations	19M	Direct Debit	        Maintain Business Partner	Maintain Business Partner 	BP	Accounts Payable Accountant	SAP_BR_AP_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Create and Print Direct Debit Mandate (Optional)	Change SEPA Mandates 	FSEPA_M2	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	    Customer Invoice Payment Preparation				
Finance	Financial Operations	19M	Direct Debit	        View Customer Line Items	Manage Customer Line Items 	F0711	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Manage Payment Blocks	Manage Customer Line Items 	F0711	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Display Customer Balance	Display Customer Balances 	F0703A	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	    Pre-Notification				
Finance	Financial Operations	19M	Direct Debit	    Payment Run				
Finance	Financial Operations	19M	Direct Debit	        Schedule Payment Proposals	Manage Automatic Payments 	F0770	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Schedule Payment Proposals	Manage Automatic Payments 	F0770	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Revise Payment Proposal	Revise Payment Proposals 	F0771	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Revise Payment Proposal	Revise Payment Proposals 	F0771	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Release Payment Proposal	Manage Automatic Payments 	F0770	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Create Direct Debit Pre-Notification				
Finance	Financial Operations	19M	Direct Debit	        Display, Print, Email or Delete Direct Debit Pre-Notification	Schedule Automatic Payments 	F110	Accounts Payable Accountant	SAP_BR_AP_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        BCM Batch Creation (Optional)				
Finance	Financial Operations	19M	Direct Debit	        Check the Usage of the SEPA Mandate	Display SEPA Mandates 	FSEPA_M3	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	    Payment Medium				
Finance	Financial Operations	19M	Direct Debit	    Payment Run				
Finance	Financial Operations	19M	Direct Debit	        Release Payment Proposal	Manage Automatic Payments 	F0770	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Create Payment Medium	Manage Payment Media 	F1868	Accounts Payable Accountant	SAP_BR_AP_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        BCM Batch Creation (Optional)				
Finance	Financial Operations	19M	Direct Debit	    Payment Medium				
Finance	Financial Operations	19M	Direct Debit	    Payment Review				
Finance	Financial Operations	19M	Direct Debit	        View Payment List	Display Payment Lists 	S_P99_41000099	Accounts Payable Accountant	SAP_BR_AP_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Create Payment Medium	Manage Payment Media 	F1868	Accounts Payable Accountant	SAP_BR_AP_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	    Invoice Management Reporting				
Finance	Financial Operations	19M	Direct Debit	    Payment Review				
Finance	Financial Operations	19M	Direct Debit	        View Payment List	Display Payment Lists 	S_P99_41000099	Accounts Payable Accountant	SAP_BR_AP_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	        Overdue Receivables	Overdue Receivables - Today 	F1747	Accounts Receivable Manager	SAP_BR_AR_MANAGER
Finance	Financial Operations	19M	Direct Debit	        View Usage of the SEPA Mandate	Display SEPA Mandates 	FSEPA_M3	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	    Invoice Management Reporting				
Finance	Financial Operations	19M	Direct Debit	        Overdue Receivables	Overdue Receivables - Today 	F1747	Accounts Receivable Manager	SAP_BR_AR_MANAGER
Finance	Financial Operations	19M	Direct Debit	    Denmark PBS Payments	Create Outgoing Invoices 	FB70	Accounts Receivable Accountant	SAP_BR_AR_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	    Denmark PBS Payments	Manage Automatic Payments 	F0770	Accounts Payable Accountant	SAP_BR_AP_ACCOUNTANT
Finance	Financial Operations	19M	Direct Debit	    Denmark PBS Payments	Manage Payment Media 	F1868	Accounts Payable Accountant	SAP_BR_AP_ACCOUNTANT
Finance	Treasury Management	1EG	Bank Integration with File Interface	    Outgoing Integration				
Finance	Treasury Management	1EG	Bank Integration with File Interface	        Create Payment Medium	Manage Payment Media 	F1868	Accounts Payable Accountant	SAP_BR_AP_ACCOUNTANT
Finance	Treasury Management	1EG	Bank Integration with File Interface	        Download File	Manage Payment Media 	F1868	Cash Management Specialist	SAP_BR_CASH_SPECIALIST
Finance	Treasury Management	1EG	Bank Integration with File Interface	    Upload Intraday Bank Statement				
Finance	Treasury Management	1EG	Bank Integration with File Interface	        Camt.052 Format	Manage Incoming Payment Files 	F1680	Cash Management Specialist	SAP_BR_CASH_SPECIALIST
