LOB	Business Area	Scope Item ID	Description	Solution Activity (Hierarchy)	Fiori App or Transaction Title	Fiori App or Transaction ID	Business Role Description	Business Role ID
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	    Dual Plant Setup				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Maintenance Request	Create Maintenance Request 	IW26	Technical Officer - Armed Forces	SAP_BR_MAINT_TECH_OFFICER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Screen Maintenance Request	Screen Maintenance Requests 	F4072	Maintenance Supervisor	SAP_BR_MAINT_SUPERVISOR
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Maintenance Order	Create Maintenance Order 	EAMS_WDA_ORDNTF_OIF	Maintenance Planner	SAP_BR_MAINTENANCE_PLANNER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Approve Maintenance Order (Optional)	My Inbox - All Items 	F0862	Billing Clerk	SAP_BR_BILLING_CLERK
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Release Maintenance Order	Change Maintenance Order 	IW32	Customer Service Manager (Customer Management)	SAP_BR_CUSTOMER_SERVICE_MGR
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Network Order(Without WBS Element)	Project Builder 	CJ20N	Project Logistics Controller	SAP_BR_PROJ_LOG_CONTROLLER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Network Order (With WBS Element)	Project Builder 	CJ20N	Project Logistics Controller	SAP_BR_PROJ_LOG_CONTROLLER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Release Network Order	Project Builder 	CJ20N	Project Logistics Controller	SAP_BR_PROJ_LOG_CONTROLLER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Run Material Requirements Planning (MRP) at Remote Plant and Base Plant	Monitor Material Coverage - Net / Individual Segments 	F2101A	Material Planner - External Procurement	SAP_BR_MATL_PLNR_EXT_PROC
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Convert Purchase Requisition to Purchase Order	Process Purchase Requisitions - Formerly Manage Purchase Requisitions 	F1048	Purchaser	SAP_BR_PURCHASER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Check for Automatically Created Inbound Delivery from Purchase Order				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Check for Automatically Created Inbound Delivery from Purchase Order	Change Purchase Order 	ME22N	Purchaser	SAP_BR_PURCHASER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Check for Automatically Created Inbound Delivery from Purchase Order	Change Inbound Delivery 	VL32N	Receiving Specialist	SAP_BR_RECEIVING_SPECIALIST
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Receipt at Base Using 107 Movement Type Two-step GR Process (Optional)	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Receipt at Base Using 103 Movement Type Two-step GR Process (Optional)	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Receipt at Base Plant	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Display Open Inspection Lots - QM Active (Optional)	Manage Inspection Lots 	F2343	Quality Technician	SAP_BR_QUALITY_TECHNICIAN
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Record Inspection Results - QM Active (Optional)	Record Inspection Results (Deprecated) 	F1685	Quality Technician	SAP_BR_QUALITY_TECHNICIAN
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Record Usage Decision - QM Active (Optional)	Record Usage Decision 	QA11	Quality Engineer	SAP_BR_QUALITY_ENGINEER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Putaway Warehouse Tasks (Optional)	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Putaway Warehouse Tasks (Optional)	Change Inbound Deliveries - Deliveries 	F1706	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Confirm Warehouse Tasks	Process Warehouse Tasks - Putaway 	F4150	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Nested Handling Unit (Optional)	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Check Automatically Created Stock Transport Order	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Check Automatically Created Stock Transport Order				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Update / Check Stock Transport Order	Manage Purchase Orders 	F0842A	Purchaser	SAP_BR_PURCHASER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Check Automatically Created Outbound Delivery				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Replenishment Delivery for Stock Transport Order	My Purchase Orders - Due for Delivery 	VL10B	Shipping Specialist	SAP_BR_SHIPPING_SPECIALIST
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Update / Check Outbound Delivery	Change Outbound Delivery 	VL02N	Shipping Specialist	SAP_BR_SHIPPING_SPECIALIST
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Remove Hold from Maintenance Order (Optional)	Change Maintenance Order 	IW32	Customer Service Manager (Customer Management)	SAP_BR_CUSTOMER_SERVICE_MGR
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Remove Hold from Network Order (Optional)	Project Builder 	CJ20N	Project Logistics Controller	SAP_BR_PROJ_LOG_CONTROLLER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Pack Items into Handling Units (Optional)	Run Outbound Process - Deliveries 	F1704	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Pick Warehouse Tasks	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Pick Warehouse Tasks	Run Outbound Process - Deliveries 	F1704	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Confirm Pick Warehouse Tasks	Process Warehouse Tasks 	F3880	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Issue	Run Outbound Process - Deliveries 	F1704	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Receipt at Remote Plant	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Issue for Maintenance Order/Network Order (Optional)	Post Goods Issue 	WDA_WSGM_GR	Retail Store Associate	SAP_BR_RETAIL_STORE_ASSOCIATE
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	    Single Plant Setup				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Maintenance Request	Create Maintenance Request 	IW26	Technical Officer - Armed Forces	SAP_BR_MAINT_TECH_OFFICER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Screen Maintenance Request	Screen Maintenance Requests 	F4072	Maintenance Supervisor	SAP_BR_MAINT_SUPERVISOR
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Maintenance Order	Create Maintenance Order 	IW31	Customer Service Manager (Customer Management)	SAP_BR_CUSTOMER_SERVICE_MGR
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Approve Maintenance Order (Optional)	My Inbox - All Items 	F0862	Billing Clerk	SAP_BR_BILLING_CLERK
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Release Maintenance Order	Change Maintenance Order 	IW32	Customer Service Manager (Customer Management)	SAP_BR_CUSTOMER_SERVICE_MGR
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Network Order (Without WBS Element)	Project Builder 	CJ20N	Project Logistics Controller	SAP_BR_PROJ_LOG_CONTROLLER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Network Order (With WBS Element)	Project Builder 	CJ20N	Project Logistics Controller	SAP_BR_PROJ_LOG_CONTROLLER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Release Network Order	Project Builder 	CJ20N	Project Logistics Controller	SAP_BR_PROJ_LOG_CONTROLLER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Run Material Requirements Planning (MRP) at Single Plant - Purchase Requisition Creation	Monitor Material Coverage - Net / Individual Segments 	F2101A	Material Planner - External Procurement	SAP_BR_MATL_PLNR_EXT_PROC
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Convert Purchase Requisition to Purchase Order	Process Purchase Requisitions - Formerly Manage Purchase Requisitions 	F1048	Purchaser	SAP_BR_PURCHASER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Check for Automatically Created Inbound Delivery from Purchase Order				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Check for Automatically Created Inbound Delivery from Purchase Order	Change Purchase Order 	ME22N	Purchaser	SAP_BR_PURCHASER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Check for Automatically Created Inbound Delivery from Purchase Order	Change Inbound Delivery 	VL32N	Receiving Specialist	SAP_BR_RECEIVING_SPECIALIST
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Receipt at Base Using 107 Movement Type Two-step GR Process (Optional)	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Receipt at Base Using 103 Movement Type Two-step GR Process (Optional)	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Receipt at Single Plant	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Display Open Inspection Lots - QM Active (Optional)	Manage Inspection Lots 	F2343	Quality Technician	SAP_BR_QUALITY_TECHNICIAN
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Record Inspection Results - QM Active (Optional)	Record Inspection Results (Deprecated) 	F1685	Quality Technician	SAP_BR_QUALITY_TECHNICIAN
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Record Usage Decision - QM Active	Record Usage Decision 	QA11	Quality Engineer	SAP_BR_QUALITY_ENGINEER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Putaway Warehouse Tasks (Optional)	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Putaway Warehouse Tasks (Optional)	Change Inbound Deliveries - Deliveries 	F1706	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Confirm Warehouse Tasks	Process Warehouse Tasks - Putaway 	F4150	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Issue for Maintenance Order/Network Order (Optional)	Post Goods Issue 	WDA_WSGM_GR	Retail Store Associate	SAP_BR_RETAIL_STORE_ASSOCIATE
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	    Multiple Base Plant				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Convert Stock Transport Requisition to Stock Transport Order	Process Purchase Requisitions - Formerly Manage Purchase Requisitions 	F1048	Purchaser	SAP_BR_PURCHASER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Create Replenishment Delivery for Stock Transport Order	My Purchase Orders - Due for Delivery 	VL10B	Shipping Specialist	SAP_BR_SHIPPING_SPECIALIST
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Issue	Run Outbound Process - Deliveries 	F1704	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Post Goods Receipt at Remote Plant	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	    Goods Receipt Reversal (Optional)				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Goods Receipt Reversal Process	Process Receipts - Stock and Non-stock items 	F5316	Receiving Specialist (IOG)	SAP_BR_RCVG_SPECIALIST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	            EWM Active in Base Plant				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	            EWM Inactive				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	    View Supply Process Document Flow	Supply Process Document Flow 	F4915	Supply Chain Analyst (IOG)	SAP_BR_SC_ANALYST_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	    Physical Inventory Process for Field Logistics Materials at Base Plant				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	    Physical Inventory Process for Field Logistics Materials at Remote Plant				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	    Field Logistics Returns Process				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Return by Maintenance or Network Order				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	            Return to Inventory and Create Return Draft	Initiate Returns - By order 	F4682	Warehouse Clerk (IOG)	SAP_BR_WAREHOUSE_CLERK_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	            Return to Inventory and Create Return Draft	Perform Maintenance Jobs 	F5104A	Maintenance Supervisor	SAP_BR_MAINT_SUPERVISOR
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	        Initiate Returns by Product	Initiate Returns - By product 	F4252	Warehouse Clerk (IOG)	SAP_BR_WAREHOUSE_CLERK_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	            Create Replenishment Delivery	Initiate Returns - By product 	F4252	Warehouse Clerk (IOG)	SAP_BR_WAREHOUSE_CLERK_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	                Replenishment Delivery Using Initiate Returns by Product App	Initiate Returns - By product 	F4252	Warehouse Clerk (IOG)	SAP_BR_WAREHOUSE_CLERK_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	                Replenishment Delivery using My Purchase Orders Due for Delivery App				
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	            Change the Returns STO â€“ Confirmation Control key (Optional)	Change Purchase Order 	ME22N	Purchaser	SAP_BR_PURCHASER
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	            Pick and Pack Delivery	Initiate Returns - By product 	F4252	Warehouse Clerk (IOG)	SAP_BR_WAREHOUSE_CLERK_IOG
Solutions for Specific Industries	Oil and Gas	40G	Field Logistics Planning and Execution	            Print Label (Optional)	Initiate Returns - By product 	F4252	Warehouse Clerk (IOG)	SAP_BR_WAREHOUSE_CLERK_IOG
