LOB	Business Area	Scope Item ID	Description	Solution Activity (Hierarchy)	Fiori App or Transaction Title	Fiori App or Transaction ID	Business Role Description	Business Role ID
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	    Anonymous Forecast and Material Requirements Planning for Semifinished Product				
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	        Create Planned Independent Requirements	Maintain PIRs 	F3445	Production Planner	SAP_BR_PRODN_PLNR
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	        Material Requirements Planning	Schedule MRP Runs 	F1339	Production Planner	SAP_BR_PRODN_PLNR
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	        Monitor Material Coverage	Monitor Material Coverage - Net / Individual Segments 	F2101A	Production Planner	SAP_BR_PRODN_PLNR
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	    Production Order Processing for Semifinished Product				
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	        Create Production Order	Monitor Material Coverage - Net / Individual Segments 	F2101A	Production Planner	SAP_BR_PRODN_PLNR
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	        Release Production Order	Manage Production Orders 	F2336	Production Supervisor - Discrete Manufacturing	SAP_BR_PRODN_SUPERVISOR_DISC
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	        Confirm Production Order for Semifinished Product	Confirm Production Order Operation 	CO11N	Production Operator - Discrete Manufacturing	SAP_BR_PRODN_OPTR_DISC
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	        Review Production Order for Semifinished Product	Manage Production Operations 	F2335	Production Supervisor - Discrete Manufacturing	SAP_BR_PRODN_SUPERVISOR_DISC
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	    Sales Order Processing for Finished Products				
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	        Alternative 1: Make-to-Order Production - Finished Goods Sales and Final Assembly(BJE)				
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	        Alternative 2: Incoming Sales Order and Consumption of the Component				
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	            Create Sales Order for Finished Product	Manage Sales Orders 	F1873	Internal Sales Representative	SAP_BR_INTERNAL_SALES_REP
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	            Monitor Material Coverage for Semifinished Product	Monitor Material Coverage - Net / Individual Segments 	F2101A	Production Planner	SAP_BR_PRODN_PLNR
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	            Material Requirements Planning for Finished Product	Schedule MRP Runs 	F1339	Production Planner	SAP_BR_PRODN_PLNR
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	            Monitor Material Coverage for Semifinished and Finished Product	Monitor Material Coverage - Net / Individual Segments 	F2101A	Production Planner	SAP_BR_PRODN_PLNR
Manufacturing	Manufacturing Operations	1BM	Make-to-Order Production - Semifinished Goods Planning and Assembly	    Review Manufacturing Object Pages	Search 	CPROJECTS_SEARCH_RPM	Project Portfolio Manager	SAP_BR_PORTFOLIOMANAGER
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	    Quality Management in Discrete Manufacturing - Goods Receipt from Production				
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Make-to-Order Production - Semifinished Goods Planning and Assembly (1BM)	Manage Stock 	F1062	Inventory Manager	SAP_BR_INVENTORY_MANAGER
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Make-to-Order Production - Semifinished Goods Planning and Assembly (1BM)	Create Production Order 	CO01	Production Supervisor - Discrete Manufacturing	SAP_BR_PRODN_SUPERVISOR_DISC
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Display Inspection Plan for Inspection Characteristics	Display Inspection Plan 	QP03	Quality Technician	SAP_BR_QUALITY_TECHNICIAN
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Post Goods Receipt for Production Order	Post Goods Receipt for Production Order 	F3110	Warehouse Clerk	SAP_BR_WAREHOUSE_CLERK
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Display Material Stock Before Quality Inspection	Stock - Single Material 	F1076	Inventory Analyst	SAP_BR_INVENTORY_ANALYST
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Display Quality Technician Overview (Optional)	Quality Technician Overview 	F2361	Quality Technician	SAP_BR_QUALITY_TECHNICIAN
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Display Open Inspection Lot	Manage Inspection Lots 	F2343	Quality Technician	SAP_BR_QUALITY_TECHNICIAN
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Quality Inspection				
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	            Display Inspection Methods	Display Inspection Methods 	F0311A	Quality Technician	SAP_BR_QUALITY_TECHNICIAN
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	            Record Inspection Results	Record Inspection Results 	F1685A	Quality Technician	SAP_BR_QUALITY_TECHNICIAN
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	            Record Inspection Results	Record Inspection Results in Table Form 	F3365	Quality Technician	SAP_BR_QUALITY_TECHNICIAN
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	            Display Quality Engineer Overview (Optional)	Quality Engineer Overview 	F2360	Quality Engineer	SAP_BR_QUALITY_ENGINEER
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	            Display Quality Engineer Overview (Optional)	Manage Defects 	F2649	Quality Engineer	SAP_BR_QUALITY_ENGINEER
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	            Make Usage Decision	Quality Engineer Overview 	F2360	Quality Engineer	SAP_BR_QUALITY_ENGINEER
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	            Make Usage Decision	Manage Usage Decisions 	F2345	Quality Engineer	SAP_BR_QUALITY_ENGINEER
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Display Material Stock after Quality Inspection	Stock - Single Material 	F1076	Inventory Analyst	SAP_BR_INVENTORY_ANALYST
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Display Inspection Results History (Optional)	Display Results History 	F2428	Quality Engineer	SAP_BR_QUALITY_ENGINEER
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	    Quality Management in Discrete Manufacturing - Within Production Process				
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Make-to-Stock Production - Discrete Manufacturing (BJ5)	Manage Stock 	F1062	Inventory Manager	SAP_BR_INVENTORY_MANAGER
Manufacturing	Quality Management	1E1	Quality Management in Discrete Manufacturing	        Make-to-Stock Production - Discrete Manufacturing (BJ5)	Create Production Order 	CO01	Production Supervisor - Discrete Manufacturing	SAP_BR_PRODN_SUPERVISOR_DISC
