LOB	Business Area	Scope Item ID	Description	Solution Activity (Hierarchy)	Fiori App or Transaction Title	Fiori App or Transaction ID	Business Role Description	Business Role ID
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	    Create New Versioned Bill Of Material				
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	        Create Bill of Material	Maintain Bill Of Material - Create, change &amp; display BOMs 	F1813	BOM Engineer	SAP_BR_BOM_ENGINEER
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	        Release Version	Maintain Bill Of Material - Create, change &amp; display BOMs 	F1813	BOM Engineer	SAP_BR_BOM_ENGINEER
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	    Minor Change				
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	        Create New Version of Bill of Material	Maintain Bill Of Material - Create, change &amp; display BOMs 	F1813	BOM Engineer	SAP_BR_BOM_ENGINEER
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	        Release Version	Maintain Bill Of Material - Create, change &amp; display BOMs 	F1813	BOM Engineer	SAP_BR_BOM_ENGINEER
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	    Major Change				
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	        Copy(Create) Header Material(Optional)	Create Material 	MM01	Master Data Specialist - Product Data	SAP_BR_PRODMASTER_SPECIALIST
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	        Copy Versioned Bill Of Material	Maintain Bill Of Material - Create, change &amp; display BOMs 	F1813	BOM Engineer	SAP_BR_BOM_ENGINEER
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	            Discard Versioned Bill of Material	Maintain Bill Of Material - Create, change &amp; display BOMs 	F1813	BOM Engineer	SAP_BR_BOM_ENGINEER
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	            Change Versioned BOM	Maintain Bill Of Material - Create, change &amp; display BOMs 	F1813	BOM Engineer	SAP_BR_BOM_ENGINEER
R&D/Engineering	Product Engineering	1NR	Engineering Bill of Material - Versions Management	                Release Version	Maintain Bill Of Material - Create, change &amp; display BOMs 	F1813	BOM Engineer	SAP_BR_BOM_ENGINEER
R&D/Engineering	Product Lifecycle Management	1QA	Specification Management for Recipes	    Create New Allergen				
R&D/Engineering	Product Lifecycle Management	1QA	Specification Management for Recipes	    Assign Allergen to Allergen Group	Manage Allergen Groups 	F2487	Administrator - Recipe Development	SAP_BR_ADMINISTRATOR_RCP_DEV
R&D/Engineering	Product Lifecycle Management	1QA	Specification Management for Recipes	    Create New Nutrient				
R&D/Engineering	Product Lifecycle Management	1QA	Specification Management for Recipes	    Assign Nutrient to Nutrient Group	Manage Nutrient Groups 	F2484	Administrator - Recipe Development	SAP_BR_ADMINISTRATOR_RCP_DEV
R&D/Engineering	Product Lifecycle Management	1QA	Specification Management for Recipes	    Create New Pure Substance				
R&D/Engineering	Product Lifecycle Management	1QA	Specification Management for Recipes	    Manage Raw Substance				
R&D/Engineering	Product Lifecycle Management	1QA	Specification Management for Recipes	        Verify Whether Raw Substance Exists	Manage Raw Substances 	F2476	Master Data Specialist - Raw Substance Data	SAP_BR_MD_SPECIALIST_RAW_SUBST
R&D/Engineering	Product Lifecycle Management	1QA	Specification Management for Recipes	        Create New Raw Substance				
