LOB	Business Area	Scope Item ID	Description	Solution Activity (Hierarchy)	Fiori App or Transaction Title	Fiori App or Transaction ID	Business Role Description	Business Role ID
Sales	Order and Contract Management	1B6	Sales Rebate Processing	    Sales Rebate Processing â€“ One Customer				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Create Condition Contract	Manage Condition Contracts - Sales Rebates 	F6739	Internal Sales Representative	SAP_BR_INTERNAL_SALES_REP
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Check Business Volume (Optional)	Display Business Volume - Condition Contracts 	WB2R_BUSVOL	Billing Clerk	SAP_BR_BILLING_CLERK
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Delta Accruals Settlement (Optional)	Settle Condition Contracts 	WB2R_SC	Billing Clerk	SAP_BR_BILLING_CLERK
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Check Settlement Document for Delta Accruals Settlement (Optional)	Manage Settlement Documents 	F3254	Billing Clerk	SAP_BR_BILLING_CLERK
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Partial Settlement with Reversal of Accruals (Optional)	Settle Condition Contracts 	WB2R_SC	Billing Clerk	SAP_BR_BILLING_CLERK
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Check Settlement Document for Partial Settlement (Optional)	Manage Settlement Documents 	F3254	Billing Clerk	SAP_BR_BILLING_CLERK
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Final Settlement with Reversal of Accruals	Settle Condition Contracts 	WB2R_SC	Billing Clerk	SAP_BR_BILLING_CLERK
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Check Settlement Document for Final Settlement (Optional)				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	    Sales Rebate Processing â€“ Multiple Customers				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Create Condition Contract	Manage Condition Contracts - Sales Rebates 	F6739	Internal Sales Representative	SAP_BR_INTERNAL_SALES_REP
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Check Business Volume (Optional)				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Delta Accruals Settlement (Optional)				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Partial Settlement with Reversal of Accruals (Optional)				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Final Settlement with Reversal of Accruals				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	    Sales Rebate Processing â€“ Two-Step Settlement				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Create Condition Contract	Manage Condition Contracts - Sales Rebates 	F6739	Internal Sales Representative	SAP_BR_INTERNAL_SALES_REP
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Check Business Volume (Optional)				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Delta Accruals Settlement (Optional)				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Partial Settlement with Reversal of Accruals (Optional)				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Collect Parked Settlement Documents for Transfer to Accounting (Optional)	Collect Settlement Documents 	WZRC	Billing Clerk	SAP_BR_BILLING_CLERK
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Final Settlement with Reversal of Accruals				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	        Collect Parked Settlement Documents From Final Settlement				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	    Goods Related Sales Rebate Processing				
Sales	Order and Contract Management	1B6	Sales Rebate Processing	    Sales Rebate Processing with Approval Workflow				
