LOB	Business Area	Scope Item ID	Description	Solution Activity (Hierarchy)	Fiori App or Transaction Title	Fiori App or Transaction ID	Business Role Description	Business Role ID
Sourcing and Procurement	Invoice Management	18J	Requisitioning	    Create Purchase Requisition				
Sourcing and Procurement	Invoice Management	18J	Requisitioning	        Create Purchase Requisition with Cost Center				
Sourcing and Procurement	Invoice Management	18J	Requisitioning	            Create Purchase Requisition with Cost Center- Single Account Assignment	My Purchase Requisitions - New 	F1643A	Employee - Procurement	SAP_BR_EMPLOYEE_PROCUREMENT
Sourcing and Procurement	Invoice Management	18J	Requisitioning	            Create Purchase Requisition with Cost Center- Multiple Account Assignment Category	My Purchase Requisitions - New 	F1643A	Employee - Procurement	SAP_BR_EMPLOYEE_PROCUREMENT
Sourcing and Procurement	Invoice Management	18J	Requisitioning	        Create Purchase Requisition with Unknown Product				
Sourcing and Procurement	Invoice Management	18J	Requisitioning	            Create Purchase Requisition with Unknown	My Purchase Requisitions - New 	F1643A	Employee - Procurement	SAP_BR_EMPLOYEE_PROCUREMENT
Sourcing and Procurement	Invoice Management	18J	Requisitioning	            Change Purchase Requisition	My Purchase Requisitions - New 	F1643A	Employee - Procurement	SAP_BR_EMPLOYEE_PROCUREMENT
Sourcing and Procurement	Invoice Management	18J	Requisitioning	    Create Purchase Requisition with Enhanced Limit item	My Purchase Requisitions - New 	F1643A	Employee - Procurement	SAP_BR_EMPLOYEE_PROCUREMENT
Sourcing and Procurement	Invoice Management	18J	Requisitioning	    Catalog Purchasing				
Sourcing and Procurement	Invoice Management	18J	Requisitioning	        Manage Catalog Items	Manage Catalog Items 	F3149	Configuration Expert - Business Process Configuration	SAP_BR_BPC_EXPERT
Sourcing and Procurement	Invoice Management	18J	Requisitioning	        Create Purchase Requisition with Catalog	My Purchase Requisitions - New 	F1643A	Employee - Procurement	SAP_BR_EMPLOYEE_PROCUREMENT
Sourcing and Procurement	Invoice Management	18J	Requisitioning	    Check Purchase Requisition (Optional)	My Purchase Requisitions - New 	F1643A	Employee - Procurement	SAP_BR_EMPLOYEE_PROCUREMENT
Sourcing and Procurement	Invoice Management	18J	Requisitioning	    Copy Purchase Requisition (Optional)	My Purchase Requisitions - New 	F1643A	Employee - Procurement	SAP_BR_EMPLOYEE_PROCUREMENT
Sourcing and Procurement	Invoice Management	18J	Requisitioning	    Mass Changes to Purchase Requisitions (Optional)	Mass Changes to Purchase Requisitions 	F2594	Purchaser	SAP_BR_PURCHASER
Sourcing and Procurement	Invoice Management	18J	Requisitioning	    Monitor Purchase Requisition Items by Account Assignment (Optional)	Purchase Requisition Items by Account Assignment 	F2422	Accounts Payable Accountant - Procurement	SAP_BR_AP_ACCOUNTANT_PROCUREMT
